non-inclusive,inclusive,Category
Passengers should notify the steward if they need assistance.,Passengers should notify the flight attendant if they need assistance.,Gender
The stewards served drinks to the passengers.,The flight attendants served drinks to the passengers.,Gender
The steward's job includes ensuring passenger safety.,The flight attendant's job includes ensuring passenger safety.,Gender
Stewards have to deal with difficult passengers all the time.,Flight attendants have to deal with difficult passengers all the time.,Gender
The steward made an announcement about the weather conditions.,The flight attendant made an announcement about the weather conditions.,Gender
"During the flight, the stewards provided excellent service.","During the flight, the flight attendants provided excellent service.",Gender
A stewardess greeted us as we boarded the plane.,A flight attendant greeted us as we boarded the plane.,Gender
"If you need help, just ask the stewardess.","If you need help, just ask the flight attendant.",Gender
The stewardess announced the flight details.,The flight attendant announced the flight details.,Gender
Stewardesses have a demanding job schedule.,Flight attendants have a demanding job schedule.,Gender
The stewardesses served dinner to the passengers.,The flight attendants served dinner to the passengers.,Gender
Stewardesses are responsible for passenger safety.,Flight attendants are responsible for passenger safety.,Gender
Many stewardesses work long hours on international flights.,Many flight attendants work long hours on international flights.,Gender
The stewardesses helped passengers with their luggAge.,The flight attendants helped passengers with their luggAge.,Gender
